id,Short Description,Data Format,group,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,Distribution,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P60,"lemonade and friendship bracelet, cemetery clean up",Visual,AOC,Left,USA,Business casual,Absent,Peripheral,Others,Absent,Unhealthy,Soft drink,Drink vendor,Community,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2018-05-07,NA,NA,NA,Present,#7294D4,Present
P61,"coffee Ilhan Omar, smiling outside",Visual,AOC,Left,USA,Business casual,Absent,Peripheral,Representing 'the people',Implied,Unhealthy,Hot drink,Drink vendor,Community,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,Political actor(s),Political event,Instagram,Actor's social media,2019-01-16,NA,NA,NA,Absent,#E6A0C4,Absent
P115,AOC campaigning 15/11/2017,Visual,AOC,Left,USA,Casual,Working class,Visually central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2017-11-15,NA,NA,NA,Present,#7294D4,Present
V1,AOC Elon twt,Audiovisual,AOC,Left,USA,Business casual,Absent,Visually central,Self,Present,Unhealthy,Savoury,Fast food,Unknown,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,Imagined digital audience,Other,Twitter,Actor's social media,2022-11-03,NA,NA,NA,Home,#C6CDF7,Implied
V20,popcorn and wine,Audiovisual,AOC,Left,USA,Casual,Absent,Visually central,Self representing 'the people',Present,Unhealthy,Alcohol,Convenience food,Unknown,Assimilated,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,Live digital audience,Personal life,Instagram,Actor's social media,2019-04-04,NA,NA,NA,Home,#C6CDF7,Implied
V21,salmon pasta livestream,Audiovisual,AOC,Left,USA,Casual,Own slogan,Visually central,Self representing 'the people',Absent,Moderate,Savoury,Homemade,Personal self,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,Live digital audience,Personal life,Instagram,Actor's social media,2020-12-10,NA,NA,NA,Home,#C6CDF7,Implied
V22,hospitality and grassroots campaign support,Audiovisual,AOC,Left,USA,Casual,Absent,Peripheral,Self representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Public self,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,Live digital audience,Personal life,Instagram,Actor's social media,2022-06-17,NA,NA,NA,Home,#C6CDF7,Implied
V23,union starbucks,Audiovisual,AOC,Left,USA,Business casual,Absent,Peripheral,Self representing 'the people',Implied,Unhealthy,Hot drink,Drink vendor,Established,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Other,YouTube,Actor's social media,2022-04-01,NA,NA,NA,Present,#7294D4,Present
V24,street vendor project,Audiovisual,AOC,Left,USA,Business casual,Health,Visually and discursively central,Others,Absent,Moderate,Savoury,Convenience food,Community,Regional Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Pandemic,YouTube,Actor's social media,2021-11-17,NA,NA,NA,Present,#7294D4,Present
V25,"short/edited, chili, ? house move GET ECHOES FROM THIS AND ADD ECHOES CATEGORY",Audiovisual,AOC,Left,USA,Casual,Absent,Visually central,Self representing 'the people',Absent,Moderate,Savoury,Homemade,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,No interaction,Personal life,Instagram,Actor's social media,2019-02-24,NA,NA,NA,Home,#C6CDF7,Implied
V34,tamales,Audiovisual,AOC,Left,USA,Casual,Absent,Visually and discursively central,Self representing 'the people',Present,Healthy,Savoury,Fast food,Independent,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Business,Corporate actor(s),Campaign,Instagram,Actor's social media,2022-11-04,NA,NA,NA,Present,#7294D4,Present
V35,horrendously long. spicy tortilla chip christmas,Audiovisual,AOC,Left,USA,Casual,,Discursively central,Self,Present,Unhealthy,Savoury,Convenience food,Independent,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,Friends/family,Personal life,Instagram,Actor's social media,2021-12-26,NA,NA,NA,Home,#C6CDF7,Implied
V36,crisis - second vid. not mega relevant?,Audiovisual,AOC,Left,USA,Business casual,Health,Peripheral,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Actor's represented community,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2020-06-18,NA,NA,NA,Present,#7294D4,Present
V41,FIND ALTERNATIVE!! AOC makes margaritas,Audiovisual,AOC,Left,USA,Casual,Absent,Visually central,Self representing 'the people',Present,Unhealthy,Alcohol,Homemade,Personal self,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,No interaction,Personal life,Instagram,Actor's social media,2020-04-03,NA,NA,NA,Home,#C6CDF7,Implied
V49,AOC irn bru,Audiovisual,AOC,Left,USA,Business casual,Health,Visually and discursively central,Self representing 'the people',Present,Unhealthy,Soft drink,Convenience food,Established,Exogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Political event,Self-recorded,Team member(s),Political event,Instagram,Actor's social media,2021-11-10,NA,NA,NA,Absent,#E6A0C4,Absent
V55,AOC BEC bartend bodega,Audiovisual,AOC,Left,USA,Casual,Absent,Visually and discursively central,Shared,Present,Unhealthy,Variety,Fast food,Independent,Regional Endogenous,No drink,Present,Present,Present,Present,Gastropopulism,Actor's represented community,News organisation,Press actor(s),Campaign,YouTube,Mass media organisation,2020-02-07,NA,NA,NA,Present,#7294D4,Present
P2,3 irn bru pics,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self,Implied,Unhealthy,Soft drink,Convenience food,Established,Regional Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Public transport,Same party politician,No interaction,Political event,Twitter,Other social media,2015-10-01,Pre slogan,NA,NA,NA,#D3D3D3,NA
P14,Sikh Gupurab,Visual,Corbyn,Left,UK,Business casual,Religion,Peripheral,Others,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Absent,Absent,Gastropopulism,Place of Worship,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2019-11-12,Implied,NA,NA,NA,#C6CDF7,Implied
P15,"""delicious"" fish and chips whitby -- link to video",Visual,Corbyn,Left,UK,Business casual,Charity,Visually and discursively central,Self,Implied,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-12-01,Absent,NA,NA,NA,#E6A0C4,Absent
P16,"serving canteen food ""on the menu"" SERVING REAL CHANGE FOR THE MANY",Visual,Corbyn,Left,UK,Business casual,Working class,Visually and discursively central,Representing 'the people',Absent,Moderate,Savoury,Canteen food,Community,Endogenous,No drink,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Instagram,Actor's social media,2019-12-05,Present,NA,NA,NA,#7294D4,Present
P18,Bill Gates meeting aid and development,Visual,Corbyn,Left,UK,Business casual,Absent,Peripheral,Shared,Implied,Healthy,Savoury,Convenience food,Unknown,N/A,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,Corporate actor(s),Political event,Instagram,Actor's social media,2019-01-24,Absent,NA,NA,NA,#E6A0C4,Absent
P19,one of the best veggie curries -- being served,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self,Implied,Moderate,Savoury,Restaurant,Independent,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Personal life,Instagram,Actor's social media,2019-01-25,Absent,NA,NA,NA,#E6A0C4,Absent
P20,"Edinburgh poverty volunteers sharing lunch, unposed",Visual,Corbyn,Left,UK,Business casual,Party,Peripheral,Shared,Implied,Moderate,Savoury,Canteen food,Community,N/A,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Charity,Instagram,Actor's social media,2018-12-16,Present,NA,NA,NA,#7294D4,Present
P21,double post - Barry behind the bar,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Others,Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,In-person audience,Campaign,Instagram,Actor's social media,2019-12-07,Absent,NA,NA,NA,#E6A0C4,Absent
P22,double post - Barry behind the bar,Visual,Corbyn,Left,UK,Business casual,Absent,Visually central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,In-person audience,Campaign,Instagram,Actor's social media,2019-12-08,Absent,NA,NA,NA,#E6A0C4,Absent
P23,community food gardening Macclesfield,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Others,Absent,Healthy,Fresh,Unprocessed,Community,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Press event,Instagram,Actor's social media,2019-07-04,Implied,NA,NA,NA,#C6CDF7,Implied
P24,Iftah FP Mosque 2019 back of head - link to vid #29,Visual,Corbyn,Left,UK,Business casual,Absent,Discursively central,Shared,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Absent,Absent,Gastropopulism,Community event,Actor's team,In-person audience,Religious occasion,Instagram,Actor's social media,2019-05-21,Absent,NA,NA,NA,#E6A0C4,Absent
P25,national allotment week courgette no corbyn,Visual,Corbyn,Left,UK,N/A,Absent,Visually and discursively central,Self,Implied,Healthy,Savoury,Unprocessed,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Community event,Self-recorded,No interaction,Cultural occasion,Instagram,Actor's social media,2018-08-19,Absent,NA,NA,NA,#E6A0C4,Absent
P26,"vote labour coffee [2 pics], link with pic 27 and video",Visual,Corbyn,Left,UK,Business casual,Working class,Visually and discursively central,Representing 'the people',Implied,Moderate,Hot drink,Bespoke,Political,Assimilated,Non-alcoholic,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Imagined digital audience,Campaign,Instagram,Actor's social media,2019-12-07,Absent,NA,NA,NA,#E6A0C4,Absent
P27,awesome.wales again link with pic 26 and video 28,Visual,Corbyn,Left,UK,Business casual,Working class,Visually and discursively central,Others,Absent,Moderate,Hot drink,Drink vendor,Independent,Assimilated,Non-alcoholic,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Campaign,Instagram,Actor's social media,2019-12-07,Absent,NA,NA,NA,#E6A0C4,Absent
P28,barista again changeplease 4 pics 1 vid FTM,Visual,Corbyn,Left,UK,Business casual,Working class,Visually and discursively central,Representing 'the people',Absent,Moderate,Hot drink,Drink vendor,Community,Assimilated,Non-alcoholic,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),Charity,Instagram,Actor's social media,2017-12-14,Present,NA,NA,NA,#7294D4,Present
P29,jam recipe GBBO labour #fortheberry,Visual,Corbyn,Left,UK,Business casual,Party,Visually and discursively central,Others,Absent,Unhealthy,Sweet,Homemade,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Other,Other,No interaction,Cultural occasion,Instagram,Actor's social media,2017-08-29,Present,NA,NA,NA,#7294D4,Present
P30,food bank volunteering with mask,Visual,Corbyn,Left,UK,Business casual,Health,Visually and discursively central,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,No interaction,Pandemic,Instagram,Actor's social media,2020-04-26,Implied,NA,NA,NA,#C6CDF7,Implied
P31,macmillan coffee morning,Visual,Corbyn,Left,UK,Business casual,Absent,Visually central,Shared,Implied,Moderate,Hot drink,Drink vendor,Community,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Charity,Instagram,Actor's social media,2021-09-24,Implied,NA,NA,NA,#C6CDF7,Implied
P32,food bank in shorts,Visual,Corbyn,Left,UK,Casual,Health,Visually central,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,No interaction,Charity,Instagram,Actor's social media,2020-08-11,Implied,NA,NA,NA,#C6CDF7,Implied
P33,"pasty, #forthepasty",Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Savoury,Fast food,Unknown,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Other,Self-recorded,No interaction,Campaign,Instagram,Actor's social media,2017-08-10,Present,NA,NA,NA,#7294D4,Present
P34,"Southall Gurdwara busy, same venue as 2017 pic 39",Visual,Corbyn,Left,UK,Business casual,Religion,Visually and discursively central,Others,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Place of Worship,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2019-05-19,Implied,NA,NA,NA,#C6CDF7,Implied
P35,vote labour fairy cakes,Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Bespoke,Political,Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Campaign trail,,No interaction,Campaign,Instagram,Actor's social media,2017-05-13,Absent,NA,NA,NA,#E6A0C4,Absent
P36,birthday remain cupcakes,Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Bespoke,Political,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,,No interaction,Campaign,Instagram,Actor's social media,2016-05-27,Pre slogan,NA,NA,NA,#D3D3D3,NA
P37,Iftar FP Mosque 2019,Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Shared,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Self-recorded,No interaction,Religious occasion,Instagram,Actor's social media,2019-06-04,Absent,NA,NA,NA,#E6A0C4,Absent
P38,food bank Sobell covid,Visual,Corbyn,Left,UK,Casual,Health,Visually and discursively central,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Community event,Actor's team,No interaction,Pandemic,Instagram,Actor's social media,2020-06-09,Implied,NA,NA,NA,#C6CDF7,Implied
P39,"Southall Gurdwara - campaign, same venue as 2019 pic 34",Visual,Corbyn,Left,UK,Casual,Religion,Visually central,Others,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Place of Worship,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2017-05-18,Present,NA,NA,NA,#7294D4,Present
P40,Islington food bank may 6 2020,Visual,Corbyn,Left,UK,Business casual,Health,Visually and discursively central,Others,Absent,Moderate,Savoury,Convenience food,Community,Endogenous,Non-alcoholic,Absent,Present,Absent,Present,Gastropopulism,Community event,Actor's team,No interaction,Pandemic,Instagram,Actor's social media,2020-05-06,Implied,NA,NA,NA,#C6CDF7,Implied
P41,peaches and oranges pre-brexit ref: not UK-grown fruit,Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Healthy,Fresh,Unprocessed,Farmers,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Self-recorded,No interaction,Campaign,Instagram,Actor's social media,2016-05-10,Pre slogan,NA,NA,NA,#D3D3D3,NA
P42,"community produce, covid",Visual,Corbyn,Left,UK,Casual,Health,Visually central,Others,Absent,Healthy,Fresh,Unprocessed,Community,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Community event,,No interaction,Pandemic,Instagram,Actor's social media,2020-05-15,Implied,NA,NA,NA,#C6CDF7,Implied
P43,"corbyn in mobile food thing, caption: transformational labour govt and hot chocolate SERVING",Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-12-04,Implied,NA,NA,NA,#C6CDF7,Implied
P44,first insta post -Tunnocks teacake fuel,Visual,Corbyn,Left,UK,N/A,N/A,Visually and discursively central,Self,Absent,Unhealthy,Sweet,Convenience food,Established,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,Self-recorded,No interaction,Campaign,Instagram,Actor's social media,2016-04-09,Pre slogan,NA,NA,NA,#D3D3D3,NA
P110,glasto workersbeerco beers #forthemany,Visual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Others,Absent,Unhealthy,Alcohol,Drink vendor,Political,Endogenous,Alcoholic,Present,Present,Present,Present,Gastropopulism,,Actor's team,Ordinary citizen(s),Cultural occasion,Twitter,Actor's social media,2017-06-24,Present,NA,NA,NA,#7294D4,Present
P116,food at homeless shelter,Visual,Corbyn,Left,UK,Business casual,Absent,Visually central,Others,Absent,Moderate,Savoury,Canteen food,Community,Endogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,,Actor's team,No interaction,Charity,Instagram,Actor's social media,2020-02-01,Implied,NA,NA,NA,#C6CDF7,Implied
P118,Corbyn tea women,Visual,Corbyn,Left,UK,Business casual,Absent,Visually central,Shared,Implied,Moderate,Hot drink,Unknown,Unknown,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Campaign trail,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2019-11-25,Absent,NA,NA,NA,#E6A0C4,Absent
V12,big swing towards falafel kebab awards,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Discursively central,Self representing 'the people',Absent,Unhealthy,Savoury,Fast food,Community,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Corporate Event,Business,No interaction,Corporate event,YouTube,Other social media,2019-03-21,Absent,NA,NA,NA,#E6A0C4,Absent
V14,vegetarian,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Discursively central,Self,Absent,Moderate,Savoury,Fast food,Community,Assimilated,No drink,Absent,Absent,Present,Present,Gastropopulism,Corporate Event,Business,No interaction,Corporate event,YouTube,Other social media,2020-03-08,Absent,NA,NA,NA,#E6A0C4,Absent
V15,pringle,Audiovisual,Corbyn,Left,UK,Business formal,Party,Visually and discursively central,Self representing 'the people',Present,Unhealthy,Savoury,Convenience food,Established,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,Citizen,Ordinary citizen(s),Campaign,YouTube,Mass media organisation,2017-05-31,Absent,NA,NA,NA,#E6A0C4,Absent
V18,campaign chips for the many,Audiovisual,Corbyn,Left,UK,Political message,Charity,Visually and discursively central,Shared,Present,Unhealthy,Savoury,Fast food,Independent,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Campaign trail,News organisation,Press actor(s),Campaign,YouTube,Mass media organisation,2019-12-01,Present,NA,NA,NA,#7294D4,Present
V27,tea gif for the many and the brew,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self representing 'the people',Present,Moderate,Hot drink,Drink vendor,Political,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Press event,Instagram,Actor's social media,2018-01-17,Present,NA,NA,NA,#7294D4,Present
V28,and that's the tea gif. #votelabourtoday. linked to pics 26 and 27,Audiovisual,Corbyn,Left,UK,Business casual,Working class,Visually central,Self representing 'the people',Present,Moderate,Hot drink,Drink vendor,Independent,Assimilated,Non-alcoholic,Present,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-12-12,Absent,NA,NA,NA,#E6A0C4,Absent
V29,Iftah 2019 Finsbury park speech. starts with eating linked to pic 24,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Visually central,Self representing 'the people',Present,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2019-05-22,Absent,NA,NA,NA,#E6A0C4,Absent
V30,Sikh Mosque - giving out food,Audiovisual,Corbyn,Left,UK,Religious/Cultural clothing,Religion,Peripheral,Others,Absent,Moderate,Savoury,Canteen food,Community,Exogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Place of Worship,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2019-05-20,Implied,NA,NA,NA,#C6CDF7,Implied
V31,Rosh Hashanah apples and honey,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Shared,Present,Moderate,Sweet,Unprocessed,Independent,Exogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Religious occasion,Instagram,Actor's social media,2019-09-29,Absent,NA,NA,NA,#E6A0C4,Absent
V32,"food costs of Brexit, distance from Johnson",Audiovisual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Self representing 'the people',Absent,Healthy,Fresh,Unprocessed,Farmers,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2019-08-03,Absent,NA,NA,NA,#E6A0C4,Absent
V33,child food poverty lunch,Audiovisual,Corbyn,Left,UK,Business casual,Absent,Visually and discursively central,Shared,Present,Moderate,Savoury,Canteen food,Community,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Community event,Actor's team,Ordinary citizen(s),Campaign,Instagram,Actor's social media,2019-08-24,Implied,NA,NA,NA,#C6CDF7,Implied
CNG1,kebab awards,NA,Corbyn,Left,UK,,,,,,,,,,,,,,,,Not Gastropopulism,,,,,NA,NA,NA,,,,,,
CNG2,irn bru reject vid,NA,Corbyn,Left,UK,,,,,,,,,,,,,,,,Not Gastropopulism,,,,,NA,NA,NA,,,,,,
P3,irn bru photoshoot 7 pics,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Present,Unhealthy,Soft drink,Convenience food,Established,Regional Endogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Other,Other,Mass media organisation,2011-09-09,NA,Present,NA,NA,#7294D4,Present
P62,Donald Trump and Farage 53 bday cake,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Sweet,Bespoke,Public self,N/A,No drink,Absent,Present,Present,Present,Gastropopulism,Actor's home,,No interaction,Personal life,Instagram,Actor's social media,2017-04-03,NA,Implied,NA,NA,#C6CDF7,Implied
