id,Short Description,Data Format,group,Ideology,Geography,Clothing,Symbolic clothing,Role of food,Who for?,Incorporation,Nourishment,Type,Production,Brand,Cultural Association,Beverage,Worker Performance,Part of 'the people',Bad Manners,Immediacy,Gastropopulism,Location,Recorder,Interaction,Context,Platform,Distribution,start,Corbyn: 'for the many',Farage: cause/solution,Trump: money where mouth is,AOC: constituency,color,Individual Trend
P79,"Corbin wine 'disappointing choice, past its best, now leaves a bitter taste'",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Political,Exogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,,No interaction,Campaign,Instagram,Actor's social media,2019-11-27,NA,Present,NA,NA,#7294D4,Present
P80,pit stop - drinking pint fuel,Visual,Farage,Right,UK,Business formal,Absent,Visually central,Self,Present,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,,Instagram,Actor's social media,2018-10-19,NA,Present,NA,NA,#7294D4,Present
P81,first customer in pub,Visual,Farage,Right,UK,Business casual,Absent,Visually central,Self,Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,,Instagram,Actor's social media,2020-07-04,NA,Implied,NA,NA,#C6CDF7,Implied
P82,"quick media interview - shadows, beer central",Visual,Farage,Right,UK,Business formal,Absent,Visually central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,,Press actor(s),Interview,Instagram,Actor's social media,2019-04-16,NA,Absent,NA,NA,#E6A0C4,Absent
P83,When you can’t believe how badly Theresa May has betrayed the people on Brexit... gastro solution,Visual,Farage,Right,UK,Casual,Working class,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Political event,Instagram,Actor's social media,2019-03-20,NA,Present,NA,NA,#7294D4,Present
P84,When the waiter serves you a continental breakfast... gastro problems,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Absent,Moderate,Sweet,Restaurant,Public self,Exogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Actor's team,Food service employee(s),,Instagram,Actor's social media,2019-02-27,NA,Present,NA,NA,#7294D4,Present
P85,free beer greene king [jubilee],Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Established,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,National occassion,Instagram,Actor's social media,2022-05-30,NA,Absent,NA,NA,#E6A0C4,Absent
P86,"pint of england's glory, 2 pics, one of tap, one him with",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Independent,Regional Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Cultural occasion,Instagram,Actor's social media,2019-02-06,NA,Implied,NA,NA,#C6CDF7,Implied
P87,"no masks and drink at bar, pingdemic, criticising Johnson on GB news show [plugged]",Visual,Farage,Right,UK,Business casual,Nation,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Established,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,,Instagram,Actor's social media,2021-07-19,NA,Implied,NA,NA,#C6CDF7,Implied
P88,EU out tap at spoons - 'brexit legent tim martin',Visual,Farage,Right,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Established,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Self-recorded,No interaction,Political event,Instagram,Actor's social media,2018-10-21,NA,Present,NA,NA,#7294D4,Present
P89,england flag pint candid euros 1/4 finals,Visual,Farage,Right,UK,Business formal,Nation,Visually central,Self,Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Regional Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,In-person audience,National occassion,Instagram,Actor's social media,2018-07-04,NA,Absent,NA,NA,#E6A0C4,Absent
P90,pint - quick training session before march to leave tomorrow morning fuel,Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-03-15,NA,Present,NA,NA,#7294D4,Present
P91,"former labour MP on talking pints - gbnews branded pint glass, pub setting",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Public self,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's workplace,Actor's team,No interaction,Interview,Instagram,Actor's social media,2021-09-15,NA,Present,NA,NA,#7294D4,Present
P92,"post match spoons pint, fishing for leave coaster",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Established,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Political event,Instagram,Actor's social media,2018-01-07,NA,Implied,NA,NA,#C6CDF7,Implied
P93,brexit podcast in pub,Visual,Farage,Right,UK,Business formal,Absent,Visually central,Shared,Implied,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Press actor(s),Interview,Instagram,Actor's social media,2017-11-28,NA,Absent,NA,NA,#E6A0C4,Absent
P94,ww2 vet pints,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Shared,Implied,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Community event,Actor's team,,,Instagram,Actor's social media,2017-08-22,NA,Absent,NA,NA,#E6A0C4,Absent
P95,"proper job' tap; 'my kind of beer', cornish",Visual,Farage,Right,UK,N/A,N/A,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Alcohol,Drink vendor,Established,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Self-recorded,No interaction,Personal life,Instagram,Actor's social media,2018-06-03,NA,Implied,NA,NA,#C6CDF7,Implied
P96,"soon' gurning farage with pint, ref: pubs reopening during covid [24/06/2020] link pic98",Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Pandemic,Instagram,Actor's social media,2020-06-24,NA,Present,NA,NA,#7294D4,Present
P97,"see you there pint [23/06/2020] link pic97, link pic102",Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,Pandemic,Instagram,Actor's social media,2020-06-23,NA,Present,NA,NA,#7294D4,Present
P98,"happy, pint, dear eu headline",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,Campaign,Instagram,Actor's social media,2017-03-29,NA,Present,NA,NA,#7294D4,Present
P99,"couldn't resist, cheers everyone' pint days before 2017 GE",Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Independent,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,Campaign,Instagram,Actor's social media,2017-06-03,NA,Present,NA,NA,#7294D4,Present
P100,daily mail front page 29/03/2017 pic of farage with beer 'cheers to a great british future',Visual,Farage,Right,UK,Business formal,Absent,Discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,,News organisation,Imagined digital audience,,Instagram,Actor's social media,2017-03-29,NA,Present,NA,NA,#7294D4,Present
P101,st george's day flag and cheersing pint,Visual,Farage,Right,UK,Business formal,Nation,Visually central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Independent,Regional Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,National occassion,Instagram,Actor's social media,2023-04-23,NA,Present,NA,NA,#7294D4,Present
P102,"link pic 97 - same pic, 'win a pint with nigel farage and a trip to london'",Visual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,Press event,Instagram,Actor's social media,2021-05-16,NA,Absent,NA,NA,#E6A0C4,Absent
P103,first insta post - pint with yellow and purple tie,Visual,Farage,Right,UK,Business formal,Party,Visually central,Representing 'the people',Implied,Unhealthy,Alcohol,Drink vendor,Unknown beer,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Imagined digital audience,Campaign,Instagram,Actor's social media,2017-03-07,NA,Absent,NA,NA,#E6A0C4,Absent
P104,shark happy new year 2018,Visual,Farage,Right,UK,Casual,Absent,Visually central,Representing 'the people',Absent,Healthy,Fresh,Unprocessed,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,Imagined digital audience,Cultural occasion,Instagram,Actor's social media,2018-12-31,NA,Absent,NA,NA,#E6A0C4,Absent
P105,tuna fishing in Cornwall,Visual,Farage,Right,UK,Casual,Absent,Discursively central,Shared,Absent,Healthy,Fresh,Unprocessed,Personal self,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Personal life,Instagram,Actor's social media,2021-11-15,NA,Absent,NA,NA,#E6A0C4,Absent
P106,morning off fishing,Visual,Farage,Right,UK,Casual,Absent,Visually central,Self,Absent,Healthy,Fresh,Unprocessed,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,Imagined digital audience,Personal life,Instagram,Actor's social media,2018-05-09,NA,Implied,NA,NA,#C6CDF7,Implied
P107,tuna fishing in the Adriatic - brexit? 2017? fishermen?,Visual,Farage,Right,UK,Casual,Absent,Visually and discursively central,Self,Absent,Healthy,Fresh,Unprocessed,Personal self,Exogenous,No drink,Absent,Present,Absent,Present,Gastropopulism,Outside,Actor's team,No interaction,Personal life,Instagram,Actor's social media,2017-04-17,NA,Absent,NA,NA,#E6A0C4,Absent
P108,"4 pics fishing in cornwall, bank holiday",Visual,Farage,Right,UK,Casual,Absent,Visually central,Self,Absent,Healthy,Fresh,Unprocessed,Personal self,Regional Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,Imagined digital audience,National occassion,Instagram,Actor's social media,2023-05-02,NA,Implied,NA,NA,#C6CDF7,Implied
P109,"2 pics, 1 of event info things, 1 of farage. british curry awards videos 10, 11, 13",Visual,Farage,Right,UK,N/A,N/A,Discursively central,Representing 'the people',Absent,Unhealthy,Savoury,Restaurant,Established,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Corporate Event,,No interaction,Corporate event,Instagram,Actor's social media,2018-11-26,NA,Absent,NA,NA,#E6A0C4,Absent
P111,winning tastes good milkshakes - chickfila - US? US daily caller,Visual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Representing 'the people',Absent,Unhealthy,Soft drink,Fast food,Established,Exogenous,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,,,,,Instagram,Actor's social media,2019-07-29,NA,Present,NA,NA,#7294D4,Present
P112,new merch on point - brexit party coffee mug,Visual,Farage,Right,UK,Business formal,Party,Visually central,Representing 'the people',Absent,Unhealthy,Hot drink,Drink vendor,Political,Assimilated,Non-alcoholic,Absent,Present,Present,Present,Gastropopulism,,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-06-29,NA,Present,NA,NA,#7294D4,Present
P113,"""cheeky"" pint",Visual,Farage,Right,UK,Business formal,Absent,Visually central,Self,Implied,Unhealthy,Alcohol,Drink vendor,Unknown,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Campaign,Instagram,Actor's social media,2019-04-30,NA,Implied,NA,NA,#C6CDF7,Implied
P114,pint celebrating ann widdicombe's defection to brexit party from tories,Visual,Farage,Right,UK,Business formal,Absent,Visually central,Shared,Implied,Unhealthy,Alcohol,Drink vendor,Unknown,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Team member(s),Campaign,Instagram,Actor's social media,2019-04-26,NA,Present,NA,NA,#7294D4,Present
P119,Farage holiday scone cat,Visual,Farage,Right,UK,Casual,Absent,Discursively central,Self,Implied,Unhealthy,Sweet,Unknown,Personal self,Endogenous,No drink,Absent,Present,Present,Present,Gastropopulism,Outside,Actor's team,No interaction,Personal life,Instagram,Actor's social media,2018-06-07,NA,Absent,NA,NA,#E6A0C4,Absent
V9,Farage brexit day,Audiovisual,Farage,Right,UK,Business formal,Absent,Visually central,Self representing 'the people',Present,Unhealthy,Alcohol,Drink vendor,Unknown,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,News organisation,Press actor(s),Political event,YouTube,Mass media organisation,2017-03-29,NA,Implied,NA,NA,#C6CDF7,Implied
V10,Farage couple of pints and curry solves,Audiovisual,Farage,Right,UK,Business formal,Absent,Discursively central,Self representing 'the people',Absent,Unhealthy,Savoury,Restaurant,Community,Assimilated,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Corporate Event,Business,No interaction,Corporate event,YouTube,Other social media,2021-01-19,NA,Present,NA,NA,#7294D4,Present
V11,toad in the hole,Audiovisual,Farage,Right,UK,Business formal,Absent,Discursively central,Self representing 'the people',Absent,Unhealthy,Savoury,Restaurant,Community,Assimilated,No drink,Absent,Present,Present,Present,Gastropopulism,Corporate Event,Business,Corporate actor(s),Corporate event,YouTube,Other social media,2018-12-15,NA,Present,NA,NA,#7294D4,Present
V19,pint fish and chips 5/11/19,Audiovisual,Farage,Right,UK,Business casual,Absent,Visually and discursively central,Shared,Present,Unhealthy,Savoury,Fast food,Independent,Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Food establishment,Other,Ordinary citizen(s),Campaign,YouTube,Mass media organisation,2019-11-05,NA,Absent,NA,NA,#E6A0C4,Absent
V38,st george's day pride beer,Audiovisual,Farage,Right,UK,Religious/Cultural clothing,Absent,Visually central,Self representing 'the people',Present,Unhealthy,Alcohol,Drink vendor,Unknown beer,Regional Endogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,Ordinary citizen(s),National occassion,Instagram,Actor's social media,2018-04-23,NA,Implied,NA,NA,#C6CDF7,Implied
V39,Farage gin coronation,Audiovisual,Farage,Right,UK,Business formal,Nation,Visually and discursively central,Self representing 'the people',Present,Unhealthy,Alcohol,Convenience food,Public self,Assimilated,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,No interaction,National occassion,Instagram,Actor's social media,2023-05-03,NA,Present,NA,NA,#7294D4,Present
V40,Farage gin: a taste of brexit,Audiovisual,Farage,Right,UK,Business formal,Absent,Visually and discursively central,Self representing 'the people',Present,Unhealthy,Alcohol,Convenience food,Public self,Assimilated,Alcoholic,Present,Present,Present,Present,Gastropopulism,Pub or bar,Actor's team,No interaction,Other,YouTube,Actor's social media,2022-09-04,NA,Present,NA,NA,#7294D4,Present
V43,new year leaving single market -- spare a thought for FISHERMEN and irish lol,Audiovisual,Farage,Right,UK,Business casual,Absent,Visually central,Self representing 'the people',Present,Unhealthy,Alcohol,Convenience food,Unknown,Exogenous,Alcoholic,Absent,Present,Present,Present,Gastropopulism,Actor's home,Self-recorded,No interaction,Cultural occasaion,Instagram,Actor's social media,2020-12-31,NA,Absent,NA,NA,#E6A0C4,Absent
